                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7213,                 1.1938,                 1.1184,                0.74917,                0.47783,                0.54262,                0.27936,                 1.5723,                0.90677,                 1.0848,             0.00066584,             0.00066584,             0.00066584
                      1,                  1.619,                 0.9476,                 1.0668,                 0.7757,                0.49422,                 0.5601,                0.27366,                 1.5833,                0.87114,                 1.0767,              0.0012797,              0.0012797,              0.0012797
                      2,                 1.5829,                0.90605,                 1.0553,                0.79081,                0.48996,                0.55512,                0.28529,                 1.5221,                0.84547,                 1.0648,              0.0018408,              0.0018408,              0.0018408
                      3,                  1.562,                0.87889,                 1.0467,                0.81001,                0.51546,                0.59597,                0.31155,                 1.4982,                0.80089,                 1.0519,              0.0017624,              0.0017624,              0.0017624
                      4,                 1.5323,                0.85132,                 1.0383,                0.82994,                0.53389,                0.60853,                 0.3191,                 1.4569,                0.75262,                 1.0341,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.5008,                0.81808,                 1.0267,                0.81396,                0.53293,                0.60998,                0.32598,                 1.4351,                0.74009,                 1.0312,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.4838,                0.79917,                   1.02,                0.81637,                0.54069,                0.61654,                0.32765,                  1.436,                0.74655,                 1.0289,               0.001604,               0.001604,               0.001604
                      7,                 1.4641,                0.77855,                 1.0141,                0.82137,                0.55433,                0.63077,                0.33472,                 1.4176,                0.70666,                  1.023,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.4525,                 0.7662,                 1.0127,                0.83236,                0.57026,                0.65127,                 0.3492,                  1.402,                0.68697,                 1.0191,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.4497,                 0.7516,                 1.0062,                0.84144,                0.56413,                 0.6461,                0.35066,                  1.382,                0.66839,                 1.0111,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.4404,                0.74669,                 1.0051,                0.83985,                0.57152,                0.64698,                0.34561,                 1.3971,                0.68162,                  1.016,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.4246,                0.73122,                 1.0016,                0.84185,                 0.5781,                0.65724,                0.35775,                 1.3771,                0.66028,                 1.0083,               0.001208,               0.001208,               0.001208
                     12,                 1.4118,                0.71959,                0.99628,                0.84641,                0.57943,                0.65892,                0.35864,                 1.3683,                0.65687,                 1.0053,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.4072,                0.71097,                0.99312,                 0.8507,                0.58394,                0.66656,                0.36239,                 1.3555,                0.63634,                 1.0022,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.4031,                0.70734,                0.99248,                0.84365,                0.58447,                0.66405,                0.36062,                 1.3545,                0.64247,                0.99809,              0.0009704,              0.0009704,              0.0009704
                     15,                 1.3936,                0.68955,                      1,                0.84383,                0.58374,                0.66511,                 0.3645,                 1.3587,                0.64292,                0.99983,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.3858,                0.67829,                0.99735,                0.85312,                0.58425,                0.66688,                0.36545,                 1.3554,                 0.6377,                0.99934,               0.000812,               0.000812,               0.000812
                     17,                 1.3708,                0.66631,                0.99353,                0.85066,                0.58999,                0.67023,                0.36843,                 1.3492,                0.62704,                0.99937,              0.0007328,              0.0007328,              0.0007328
                     18,                 1.3625,                0.65735,                0.99076,                0.85064,                0.59108,                0.67393,                0.37325,                 1.3396,                 0.6182,                0.99712,              0.0006536,              0.0006536,              0.0006536
                     19,                 1.3544,                 0.6466,                0.98463,                0.85306,                0.59599,                0.67953,                0.37715,                 1.3366,                0.60899,                0.99768,              0.0005744,              0.0005744,              0.0005744
                     20,                 1.3481,                0.63503,                0.98434,                 0.8585,                0.59514,                0.68137,                0.38078,                 1.3243,                0.60562,                0.99058,              0.0004952,              0.0004952,              0.0004952
                     21,                 1.3305,                 0.6246,                0.98258,                0.86286,                 0.5939,                0.68428,                0.38188,                 1.3222,                0.59881,                0.99007,               0.000416,               0.000416,               0.000416
                     22,                 1.3257,                 0.6167,                0.97932,                0.85994,                0.60106,                  0.686,                0.38224,                   1.32,                0.59187,                0.98842,              0.0003368,              0.0003368,              0.0003368
                     23,                 1.3101,                0.60277,                 0.9744,                0.85537,                0.60113,                0.68516,                0.38237,                 1.3211,                0.59112,                0.98879,              0.0002576,              0.0002576,              0.0002576
                     24,                 1.3016,                 0.5966,                0.97294,                0.85465,                0.60408,                0.68672,                0.38281,                 1.3186,                0.58733,                0.98765,              0.0001784,              0.0001784,              0.0001784
